"ID" "Dam" "Sire" "phenotype"
"s1" NA NA 30.125433077586
"s2" NA NA 60.7294691667902
"s3" NA NA 56.6114605207566
"s4" NA NA 44.9407669724337
"s5" NA NA 56.8176956086941
"s6" NA NA 46.9701453734577
"s7" NA NA 60.3775638087414
"s8" NA NA 63.5840054467431
"s9" NA NA 64.7060779356795
"s10" NA NA 38.4211693132523
"s11" NA NA 33.483323178343
"s12" NA NA 50.4420306140179
"s13" NA NA 46.103818803649
"s14" NA NA 56.2708199526013
"s15" NA NA 60.5761493124507
"s16" NA NA 65.0147066038938
"s17" NA NA 41.8801125380129
"s18" NA NA 45.5298048402106
"s19" NA NA 64.0996128827671
"s20" NA NA 49.8332833822726
"s21" NA NA 43.2148555322727
"s22" NA NA 42.5396302906607
"s23" NA NA 50.6289357236599
"s24" NA NA 50.2865752794361
"s25" NA NA 63.8810086139915
"s26" NA NA 43.9980283028874
"s27" NA NA 41.5107070880893
"s28" NA NA 44.6649587121023
"s29" NA NA 47.593500768148
"s30" NA NA 42.7458848655788
"d1" NA NA 49.3011199995775
"d2" NA NA 36.2532436883809
"d3" NA NA 67.3565045666379
"d4" NA NA 58.9342424097714
"d5" NA NA 43.2444898890261
"d6" NA NA 45.8789467879304
"d7" NA NA 45.5010089058687
"d8" NA NA 38.594482232511
"d9" NA NA 41.8577019258827
"d10" NA NA 60.8002397076558
"d11" NA NA 25.6762620095111
"d12" NA NA 50.6652696424389
"d13" NA NA 53.729130329196
"d14" NA NA 45.706650001311
"d15" NA NA 47.3327447594837
"d16" NA NA 58.5562907950021
"d17" NA NA 45.3629380184917
"d18" NA NA 54.0041432417567
"d19" NA NA 49.3374179521972
"d20" NA NA 39.0248890745106
"d21" NA NA 40.0608643846912
"d22" NA NA 42.6481183041412
"d23" NA NA 47.1828877456862
"d24" NA NA 48.3599390589997
"d25" NA NA 56.8039947362879
"d26" NA NA 43.3081269848502
"d27" NA NA 54.8559630168956
"d28" NA NA 38.5227874852895
"d29" NA NA 42.5677126621717
"d30" NA NA 67.968607954169
"d31" NA NA 69.0375212352699
"d32" NA NA 49.2457303893602
"d33" NA NA 54.1629574032854
"d34" NA NA 42.740642832519
"d35" NA NA 34.8966991535709
"d36" NA NA 41.2077455751615
"d37" NA NA 36.1954476144498
"d38" NA NA 62.7502334548973
"d39" NA NA 42.4653979093766
"d40" NA NA 47.9851647776938
"d41" NA NA 66.9535499694595
"d42" NA NA 40.2234362046374
"d43" NA NA 42.150111196651
"d44" NA NA 52.340894764753
"d45" NA NA 52.9954866136307
"d46" NA NA 55.419042267631
"d47" NA NA 56.2247203322229
"d48" NA NA 44.1999283372146
"d49" NA NA 58.794642991284
"d50" NA NA 43.0514133979794
"d51" NA NA 55.8143918580337
"d52" NA NA 45.6486893356915
"d53" NA NA 40.09000582456
"d54" NA NA 43.7317146139265
"d55" NA NA 59.6953677110481
"d56" NA NA 58.1713417193011
"d57" NA NA 53.7953045156377
"d58" NA NA 47.6946931391046
"d59" NA NA 65.7374841014456
"d60" NA NA 53.3256266737529
"d61" NA NA 55.5194611207162
"d62" NA NA 59.7811241657001
"d63" NA NA 54.9400500789841
"d64" NA NA 63.8944787522579
"d65" NA NA 35.7300761906985
"d66" NA NA 49.6678493741073
"d67" NA NA 53.511224113587
"d68" NA NA 43.4530274806337
"d69" NA NA 56.9638776658516
"d70" NA NA 54.6676023470763
"d71" NA NA 50.4452354119499
"d72" NA NA 58.5064389322884
